Subject_ID,Session_ID,Condition,Agent_Utility,Human_Utility,Agreement_Rounds,Raw_Arousal,Raw_Valence,Max_Arousal,Min_Arousal,Max_Valence,Min_Valence,Norm_Arousal,Norm_Valence,Concession_Rate,Nice_Rate,Fortunate_Rate,Unfortunate_Rate,Selfish_Rate,Silent_Rate
37,2,CL,0.725,0.7,9,0.002527203903917009,0.012575250927030162,0.5765835915939505,-0.7964423123527976,0.5765835915939505,-0.7964423123527976,0.10325360426320752,0.148259224791866,0.375,0.0,0.125,0.125,0.375,0.0
38,1,FC,0.75,0.775,10,-0.047571750544011596,-0.004277306143194433,0.7115653038024903,-0.6129394233226776,0.7115653038024903,-0.6129394233226776,-0.047571750544011596,-0.00427730614319444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.0
38,2,CL,0.7,0.85,15,-0.0512273717050751,-0.0517627190798521,0.7405425316810608,-0.9120695869127909,0.7405425316810608,-0.9120695869127909,0.18719237510999207,0.034542746993845005,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.07142857142857142
39,1,FC,0.775,0.6,4,0.1252344250679016,-0.10134053695946932,0.2747774049639702,-0.35896626859903336,0.2747774049639702,-0.35896626859903336,0.12523442506790158,-0.1013405369594693,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0
39,2,CL,0.825,0.6,2,0.0013534165918827057,0.0037394547834992396,0.24502500000000002,-0.164025,0.24502500000000002,-0.164025,-0.0957012184527986,-0.08986809733895795,1.0,0.0,0.0,0.0,0.0,0.0
40,1,FC,0.775,0.6,3,-0.018474942445755003,0.09666202068328858,0.4346806168556213,-0.3837161064147949,0.4346806168556213,-0.3837161064147949,-0.021058350180586133,0.10511039197444913,1.0,0.0,0.0,0.0,0.0,0.0
40,2,CL,0.8,0.8,11,-0.07036741797558287,-0.06805056350475008,0.6586069952357899,-0.6671320200603288,0.6586069952357899,-0.6671320200603288,-0.03580514140869514,-0.09663293756449177,0.2,0.0,0.1,0.3,0.4,0.0
41,1,CL,0.95,0.6,6,-0.03473211418498646,-0.03290520439093763,0.3589459079772234,-0.7563154732545277,0.3589459079772234,-0.7563154732545277,0.22797360050223892,0.2517044039291677,0.6,0.0,0.0,0.0,0.4,0.0
41,2,FC,0.725,0.725,3,0.10028327504793803,-0.09919852763414382,0.29247444353699686,-0.63664587657,0.29247444353699686,-0.63664587657,0.100283275047938,-0.0991985276341438,0.5,0.0,0.5,0.0,0.0,0.0
42,1,CL,0.775,0.75,8,-0.0725125640630722,-0.07396649159491062,0.23254072642262782,-0.7675220449765523,0.23254072642262782,-0.7675220449765523,0.26207519573893784,0.2924044664673862,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0
42,2,FC,0.7,0.85,10,0.01650564612355083,-0.1522728271782398,0.24257474999999995,-0.9,0.24257474999999995,-0.9,0.01650564612355081,-0.1522728271782398,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111
43,1,FC,0.75,0.775,21,0.04879265185445547,-0.099015695940158,0.6348111207892255,-0.5779375346695504,0.6348111207892255,-0.5779375346695504,0.047423069986204276,-0.09561245348526252,0.3,0.05,0.05,0.1,0.35,0.15
43,2,CL,0.75,0.75,13,0.025277217999100682,0.015476908385753633,0.7341441543454224,-0.8572120571136475,0.7341441543454224,-0.8572120571136475,0.09345749599988996,0.08525460095420644,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.3333333333333333,0.0
